Plastic type,Replacement %,Particle size (mm),w/c ratio,Additive type,Additive %,Curing temperature (°C),Curing duration (days),Compressive strength (MPa),Flexural strength (MPa),Split tensile strength (MPa),Density (kg/m³),Water absorption (%),Thermal conductivity (W/m·K),Durability index
PET,1.52,2.69,0.35,none,0.0,36.6,56.4,77.05,5.87,7.13,2325.3,1.87,1.264,65.2
PET,2.99,6.88,0.461,none,0.0,19.0,14.3,29.48,3.94,2.34,2297.3,3.19,1.23,50.2
PET,1.37,3.58,0.535,GGBS,28.4,37.6,55.9,64.35,5.68,5.05,2337.0,2.95,1.275,64.2
PET,3.14,0.7,0.513,silica fume,5.8,29.3,7.2,20.28,2.94,1.64,2359.9,2.43,1.345,48.1
PET,2.9,2.42,0.557,fly ash,26.9,38.9,13.9,28.13,3.69,2.87,2345.1,2.99,1.246,49.5
PET,1.7,1.26,0.485,silica fume,18.9,21.2,14.0,32.06,3.35,3.22,2377.6,2.27,1.325,56.0
PET,1.75,7.17,0.477,none,0.0,21.1,90.0,75.08,6.61,7.08,2320.9,3.1,1.286,61.2
PET,3.18,0.9,0.487,GGBS,22.7,70.4,13.9,33.36,4.15,2.65,2377.4,2.53,1.228,63.8
PET,1.16,0.51,0.456,silica fume,8.4,46.2,6.9,20.9,3.33,1.59,2300.7,2.18,1.308,53.1
PET,4.55,2.23,0.523,fly ash,29.6,50.0,55.9,62.13,5.96,5.31,2309.0,3.15,1.148,65.1
PET,4.13,5.35,0.605,silica fume,18.4,57.4,13.7,28.03,3.61,2.71,2322.1,3.55,1.317,48.1
PET,1.6,9.32,0.477,silica fume,14.6,70.2,7.2,25.36,3.38,2.48,2323.7,2.46,1.297,52.0
PET,4.55,1.03,0.507,fly ash,11.7,21.1,89.9,70.57,6.38,6.86,2330.7,2.54,1.2,71.2
PET,0.92,0.88,0.43,fly ash,15.6,22.4,3.2,12.5,2.15,1.22,2325.8,2.23,1.296,44.8
PET,2.48,4.58,0.393,none,0.0,41.5,55.7,69.91,5.73,5.49,2359.5,2.42,1.26,67.4
PET,1.5,0.67,0.512,silica fume,9.0,27.4,28.0,46.61,4.95,4.85,2351.1,2.87,1.305,64.4
PET,1.2,1.86,0.371,GGBS,26.9,29.2,55.6,84.54,6.0,7.6,2370.9,1.74,1.267,74.7
PET,1.58,11.26,0.438,fly ash,17.4,38.6,56.3,73.4,5.73,6.2,2352.0,2.61,1.265,69.4
PET,4.81,2.35,0.605,none,0.0,27.0,55.7,44.12,4.69,3.72,2368.6,4.05,1.255,52.2
PET,0.29,5.19,0.368,silica fume,13.8,23.7,28.0,58.85,5.42,4.54,2350.2,1.9,1.309,82.4
PET,2.65,1.78,0.489,fly ash,26.9,79.9,7.3,22.51,3.42,2.03,2363.9,2.94,1.2,41.2
PET,0.99,2.96,0.462,none,0.0,20.9,7.1,21.03,2.74,2.21,2367.5,3.37,1.316,38.4
PET,1.31,0.91,0.506,fly ash,20.8,27.9,7.1,19.6,2.97,2.04,2332.1,3.03,1.356,46.9
PET,4.64,6.12,0.47,none,0.0,34.1,6.9,18.5,2.68,1.42,2340.3,3.04,1.199,38.1
PET,3.52,0.82,0.383,GGBS,15.8,18.1,90.0,85.0,7.26,8.0,2355.1,1.72,1.259,78.0
PET,4.52,12.9,0.35,fly ash,10.3,21.3,90.0,85.0,8.05,8.0,2355.3,1.2,1.233,72.6
PET,3.25,1.69,0.534,silica fume,19.6,21.6,13.8,29.39,3.94,2.49,2347.0,2.96,1.343,49.4
PET,4.69,1.1,0.35,none,0.0,25.1,28.0,54.7,5.52,4.2,2355.6,1.16,1.154,73.5
PET,3.11,9.63,0.483,none,0.0,39.7,90.0,71.6,6.56,7.55,2373.5,3.13,1.22,61.5
PET,4.29,4.81,0.392,GGBS,19.4,21.9,28.1,47.55,5.34,4.63,2314.8,1.54,1.278,67.4
PET,0.01,7.22,0.535,fly ash,12.0,19.8,55.7,57.24,5.51,5.21,2294.0,3.41,1.306,71.1
PET,3.45,14.86,0.35,silica fume,5.2,21.9,28.3,56.51,5.24,6.01,2325.8,1.58,1.301,75.0
PET,2.66,7.31,0.395,none,0.0,21.0,28.1,50.89,4.38,4.67,2365.1,2.08,1.256,74.3
PET,1.31,8.85,0.545,none,0.0,26.1,7.1,17.12,2.86,1.46,2342.9,4.19,1.283,34.6
PET,4.33,2.18,0.535,GGBS,23.4,50.4,13.5,29.89,3.69,3.04,2374.8,2.8,1.25,53.6
PET,0.69,2.71,0.512,none,0.0,29.4,27.7,45.49,4.47,4.79,2384.7,3.73,1.307,59.1
PET,4.31,3.18,0.574,fly ash,12.9,77.4,90.0,72.7,6.48,7.55,2335.1,3.35,1.201,66.9
PET,4.1,0.81,0.491,none,0.0,45.6,89.9,63.36,6.18,5.78,2344.1,2.94,1.304,64.0
PET,0.37,1.91,0.519,fly ash,23.2,30.5,28.2,43.98,4.66,3.91,2357.1,3.54,1.303,61.8
PET,3.43,14.93,0.552,none,0.0,37.7,56.3,53.09,5.78,4.52,2366.3,3.89,1.191,57.8
PET,3.76,1.79,0.485,silica fume,10.3,25.7,14.2,33.69,4.32,2.56,2334.0,2.46,1.266,56.4
PET,3.52,0.51,0.58,none,0.0,58.4,55.9,55.82,5.65,5.26,2368.2,3.6,1.24,61.2
PET,4.21,1.74,0.545,fly ash,14.3,24.1,89.9,63.26,5.99,5.65,2340.1,3.28,1.183,62.6
PET,4.94,0.81,0.451,fly ash,11.0,18.6,28.0,46.48,5.05,4.4,2319.0,2.47,1.119,71.6
PET,2.76,0.58,0.442,GGBS,18.5,79.4,89.8,85.0,6.51,8.0,2360.2,1.9,1.295,69.6
PET,0.32,0.76,0.474,GGBS,22.4,61.0,27.6,48.69,5.93,5.16,2362.5,2.58,1.316,71.7
PET,4.79,12.4,0.539,fly ash,21.2,18.2,6.6,16.07,3.02,1.55,2330.9,3.21,1.231,42.0
PET,2.23,2.08,0.452,GGBS,22.6,19.3,7.5,21.26,3.35,1.87,2377.4,2.18,1.278,54.7
PET,2.29,2.49,0.498,fly ash,28.0,52.1,55.8,71.56,7.05,7.03,2320.8,2.9,1.235,75.2
PET,1.88,1.58,0.45,none,0.0,27.3,27.9,44.75,5.02,4.27,2312.8,2.69,1.198,60.1
PET,4.11,1.43,0.565,none,0.0,20.8,28.5,36.46,4.9,3.08,2323.0,3.2,1.222,53.2
PET,2.79,13.67,0.529,none,0.0,22.8,27.6,40.46,4.29,4.45,2361.0,3.01,1.264,58.1
PET,0.27,0.87,0.424,fly ash,26.4,24.5,28.0,51.04,5.26,5.25,2340.6,2.61,1.331,75.6
PET,1.01,6.46,0.38,fly ash,27.3,29.4,7.2,27.0,3.51,2.52,2416.4,2.01,1.25,54.8
PET,4.85,9.67,0.482,fly ash,11.3,22.4,6.9,18.99,2.87,1.96,2344.9,2.39,1.123,45.5
PET,0.63,0.73,0.577,fly ash,28.6,21.2,89.8,65.79,7.01,5.26,2335.0,4.04,1.284,60.5
PET,3.19,7.9,0.445,fly ash,14.2,33.1,28.5,46.27,4.97,3.56,2335.4,2.33,1.153,64.3
PET,0.41,9.68,0.423,none,0.0,28.9,28.0,47.89,4.79,4.76,2376.2,2.73,1.274,72.8
PET,0.49,1.27,0.519,GGBS,27.0,20.4,3.5,10.86,2.08,0.86,2320.9,3.19,1.366,35.3
PET,4.36,2.73,0.517,fly ash,14.2,40.2,14.3,30.32,3.92,3.2,2320.0,3.05,1.173,47.2
PET,0.38,8.37,0.388,none,0.0,38.6,28.4,52.22,4.96,5.47,2337.0,2.46,1.293,68.8
PET,2.32,3.2,0.471,silica fume,10.2,43.0,7.4,24.8,3.27,2.04,2326.0,2.36,1.347,52.9
PET,0.5,1.04,0.478,silica fume,10.9,24.6,14.3,34.73,3.69,2.64,2423.5,2.7,1.36,62.6
PET,4.82,0.52,0.518,silica fume,5.3,74.8,28.4,49.64,5.32,3.98,2305.9,2.6,1.261,72.8
PET,1.84,6.25,0.56,silica fume,11.3,24.6,6.6,18.28,2.69,1.7,2313.0,2.9,1.357,35.2
PET,1.0,9.35,0.405,fly ash,19.2,22.9,6.7,22.32,3.14,2.43,2403.6,2.4,1.286,51.9
PET,3.07,1.59,0.492,none,0.0,44.9,89.6,65.37,6.94,7.0,2317.4,3.68,1.256,58.7
PET,0.34,4.27,0.38,GGBS,26.3,34.2,28.3,57.7,5.77,4.71,2348.1,2.1,1.281,74.6
PET,0.05,5.2,0.35,silica fume,9.4,35.3,6.8,26.74,3.13,2.19,2334.3,1.24,1.375,60.7
PET,1.82,3.36,0.439,none,0.0,23.0,7.3,20.77,3.09,1.74,2305.8,2.77,1.307,35.4
PET,2.29,7.36,0.458,none,0.0,77.5,90.0,79.3,6.32,6.21,2338.2,2.98,1.323,59.6
PET,3.08,2.06,0.51,fly ash,17.9,38.7,14.4,27.55,4.5,2.13,2337.1,3.28,1.241,45.6
PET,0.43,10.38,0.503,silica fume,10.3,18.6,89.6,77.31,6.8,5.89,2364.9,2.48,1.369,65.9
PET,1.56,5.58,0.597,GGBS,17.2,25.4,28.2,36.45,4.65,3.46,2355.4,3.39,1.316,54.8
PET,4.58,4.39,0.526,none,0.0,24.6,90.0,68.68,5.93,7.21,2262.1,3.22,1.211,60.0
PET,0.52,2.78,0.576,silica fume,16.8,26.7,7.0,16.54,2.93,1.49,2367.8,2.91,1.372,36.3
PET,0.95,8.79,0.466,GGBS,11.9,25.0,6.5,17.27,3.2,1.57,2328.2,2.42,1.398,44.0
PET,1.85,4.33,0.507,fly ash,18.6,25.1,7.3,20.07,3.36,2.11,2318.9,3.07,1.3,47.4
PET,3.51,1.78,0.599,silica fume,16.7,21.8,27.7,42.02,4.59,3.28,2336.5,3.08,1.261,63.2
PET,0.64,3.33,0.414,none,0.0,20.6,28.4,56.18,5.04,4.66,2365.6,2.68,1.295,64.1
PET,4.21,1.44,0.385,fly ash,22.4,51.2,13.7,38.39,4.46,3.19,2351.6,1.71,1.151,66.8
PET,4.74,6.83,0.432,none,0.0,24.7,7.0,19.27,2.74,1.78,2344.5,2.43,1.239,44.6
PET,4.45,0.51,0.446,fly ash,16.1,48.9,27.7,50.56,5.49,5.46,2381.3,1.99,1.185,74.7
PET,3.75,1.47,0.513,none,0.0,22.8,13.6,30.84,3.66,3.27,2298.5,3.35,1.27,51.7
PET,4.75,1.42,0.438,silica fume,6.1,19.1,28.0,49.51,5.72,3.76,2381.0,2.27,1.251,74.5
PET,2.03,0.91,0.519,silica fume,17.1,50.9,14.1,27.8,4.12,2.38,2320.0,2.59,1.351,53.5
PET,4.22,1.02,0.588,silica fume,10.8,42.9,28.1,38.52,4.71,3.69,2348.6,3.12,1.277,56.1
PET,1.21,0.7,0.559,fly ash,24.2,22.6,28.3,38.53,4.45,3.25,2346.0,4.09,1.197,51.1
PET,3.31,12.35,0.499,fly ash,12.2,29.3,14.1,34.58,3.68,2.95,2320.3,2.78,1.185,55.6
PET,4.84,6.19,0.49,fly ash,19.6,61.4,3.0,10.85,2.05,0.87,2314.0,2.78,1.264,36.0
PET,0.05,0.86,0.35,none,0.0,23.7,28.3,51.79,5.99,4.45,2318.3,1.91,1.349,68.2
PET,2.39,3.91,0.454,silica fume,7.1,19.9,56.0,64.71,6.34,6.63,2339.2,2.51,1.269,70.3
PET,0.61,8.5,0.511,GGBS,18.0,60.8,56.5,62.57,6.46,5.4,2367.9,3.14,1.308,70.7
PET,1.83,0.68,0.468,none,0.0,23.3,3.0,8.59,1.83,0.78,2385.1,2.52,1.318,29.4
PET,1.78,11.15,0.436,none,0.0,65.8,14.3,34.83,3.91,2.63,2343.7,2.95,1.3,51.8
PET,4.12,0.76,0.573,none,0.0,35.0,13.6,25.92,3.33,2.06,2360.0,3.92,1.311,42.2
PET,4.59,0.53,0.405,none,0.0,21.9,14.4,33.1,4.49,3.15,2350.0,2.09,1.137,52.9
PET,0.83,3.42,0.415,fly ash,18.7,24.5,27.9,57.34,5.87,4.43,2317.9,3.03,1.146,76.7
PET,0.53,1.17,0.54,silica fume,13.3,21.4,27.5,43.13,5.53,3.68,2343.1,3.27,1.376,64.7
PET,3.11,2.34,0.599,fly ash,24.2,29.2,89.6,64.16,5.97,6.69,2345.2,4.0,1.228,66.1
PET,3.48,6.49,0.517,fly ash,12.0,40.5,13.7,27.64,3.56,2.33,2336.1,2.73,1.182,46.3
PET,0.67,7.51,0.569,GGBS,19.3,25.0,28.2,38.22,4.9,3.87,2339.4,3.71,1.329,57.1
PET,3.92,0.91,0.554,GGBS,10.7,43.4,28.0,33.39,4.55,2.62,2327.6,3.04,1.277,55.5
PET,4.46,2.09,0.531,none,0.0,28.2,90.0,68.79,5.67,6.63,2351.9,2.97,1.25,64.4
PET,0.06,3.14,0.358,none,0.0,33.6,89.9,83.39,6.93,7.56,2428.3,1.82,1.359,70.4
PET,1.56,4.18,0.479,GGBS,22.9,24.4,55.9,60.78,5.91,4.87,2330.0,2.66,1.232,67.9
PET,4.73,0.8,0.575,silica fume,10.3,26.8,55.6,54.93,6.16,5.47,2366.2,3.11,1.248,63.1
PET,4.56,1.83,0.459,GGBS,13.4,31.0,27.7,43.31,5.04,4.1,2324.9,2.05,1.118,64.4
PET,4.63,1.44,0.49,GGBS,13.6,19.5,6.5,18.37,2.61,1.51,2358.1,2.78,1.266,43.0
PET,2.45,4.56,0.501,fly ash,29.9,42.9,7.5,19.26,3.22,1.57,2356.4,2.6,1.309,37.0
PET,1.19,1.63,0.552,fly ash,20.5,23.2,56.0,60.95,5.86,5.66,2313.5,3.29,1.209,67.5
PET,2.32,12.23,0.597,silica fume,14.7,24.4,7.2,18.86,2.56,1.75,2343.0,3.14,1.255,39.1
PET,0.15,0.59,0.56,silica fume,17.3,31.7,6.6,18.05,2.39,1.69,2293.9,3.46,1.386,43.5
PET,0.02,0.71,0.428,silica fume,13.2,26.9,27.7,51.45,5.59,4.71,2413.7,2.25,1.428,74.5
PET,3.57,0.82,0.497,none,0.0,25.4,27.6,40.65,4.65,3.8,2325.1,3.0,1.275,60.2
PET,1.11,8.77,0.538,GGBS,10.3,28.1,7.1,17.92,2.69,1.41,2342.9,2.81,1.212,45.7
PET,1.49,3.14,0.462,fly ash,13.5,20.2,89.7,75.06,6.39,5.87,2310.0,2.9,1.223,64.4
PET,1.74,9.67,0.508,none,0.0,19.4,89.8,68.91,6.29,7.05,2334.2,3.36,1.255,66.2
PET,3.54,6.26,0.438,silica fume,6.3,77.7,90.0,85.0,7.24,8.0,2370.1,1.77,1.287,73.0
PET,2.46,0.57,0.365,silica fume,5.9,19.3,7.3,27.88,3.34,2.13,2320.0,1.38,1.35,58.8
PET,2.1,4.49,0.486,silica fume,12.6,18.7,28.3,49.69,4.48,4.6,2349.0,3.22,1.332,74.2
PET,0.45,3.49,0.546,silica fume,19.3,28.2,14.4,30.35,3.81,2.42,2335.7,3.28,1.333,54.9
PET,4.43,12.01,0.555,none,0.0,23.2,28.2,38.09,4.13,3.94,2319.8,3.69,1.167,49.5
PET,4.65,4.47,0.44,GGBS,22.7,28.6,56.4,60.17,6.34,4.77,2330.7,1.69,1.249,72.5
PET,3.67,4.91,0.539,silica fume,15.0,63.2,27.8,49.56,4.48,5.2,2364.6,2.46,1.291,64.7
PET,4.28,1.5,0.393,none,0.0,23.0,7.3,23.59,2.84,1.97,2343.6,2.14,1.192,50.4
PET,0.74,1.31,0.526,silica fume,8.1,27.2,7.4,22.04,2.64,2.3,2326.4,3.25,1.395,44.3
PET,4.35,14.09,0.535,GGBS,21.6,19.6,28.5,38.04,4.85,3.44,2318.0,2.62,1.251,59.8
PET,3.3,1.41,0.454,fly ash,27.3,47.3,27.9,52.15,5.28,5.55,2327.6,2.32,1.194,74.0
PET,0.74,1.12,0.501,silica fume,9.6,19.2,90.0,81.26,7.46,6.59,2347.2,2.55,1.417,77.1
PET,1.64,7.74,0.501,silica fume,17.2,35.7,27.6,51.99,5.5,5.48,2319.3,2.81,1.316,67.1
PET,1.97,4.02,0.374,GGBS,20.5,28.8,28.3,57.02,5.43,4.73,2336.3,2.27,1.264,79.6
PET,0.06,3.55,0.479,fly ash,21.0,25.5,3.1,10.81,2.04,0.99,2323.5,2.99,1.264,33.6
PET,2.27,0.89,0.445,silica fume,17.7,20.2,90.0,85.0,7.68,8.0,2347.1,2.52,1.341,70.2
PET,2.42,13.42,0.466,fly ash,22.4,25.7,6.6,19.47,2.88,1.5,2378.4,2.33,1.323,42.3
PET,0.16,1.12,0.522,fly ash,26.1,29.9,13.7,30.17,3.43,3.13,2334.2,3.58,1.23,49.4
PET,4.85,2.56,0.45,none,0.0,42.4,28.0,41.35,5.06,3.53,2339.3,2.5,1.268,56.1
PET,3.37,2.53,0.469,fly ash,21.7,20.4,13.7,32.66,3.3,2.93,2361.2,2.53,1.182,50.1
PET,1.49,2.3,0.504,fly ash,12.9,21.8,28.3,45.93,4.58,4.41,2338.8,2.92,1.266,59.8
PET,2.24,10.21,0.411,none,0.0,76.2,6.6,20.22,2.9,1.58,2359.0,2.33,1.33,46.9
PET,0.12,2.2,0.53,none,0.0,23.8,90.0,64.14,6.62,5.34,2287.4,3.82,1.214,64.1
PET,1.41,6.93,0.397,fly ash,16.8,29.7,13.7,35.45,4.21,2.83,2404.3,1.99,1.209,66.1
PET,4.75,1.01,0.463,silica fume,13.8,25.2,3.0,10.72,2.13,1.06,2285.4,1.46,1.313,38.5
PET,3.0,2.96,0.376,GGBS,11.4,19.0,6.8,24.59,3.35,2.2,2351.8,1.52,1.269,56.7
PET,4.02,8.57,0.449,silica fume,19.5,27.6,56.1,74.62,6.35,7.39,2313.7,1.67,1.294,74.1
PET,2.25,3.4,0.432,fly ash,12.0,28.2,89.9,70.26,6.78,7.16,2337.4,2.82,1.207,72.7
PET,4.09,3.0,0.464,none,0.0,23.4,7.1,18.74,2.95,1.85,2330.4,2.95,1.213,37.6
PET,4.87,3.16,0.491,none,0.0,28.3,14.2,24.38,3.9,2.44,2329.2,3.1,1.177,42.1
PET,0.5,9.86,0.517,none,0.0,21.8,90.0,65.19,6.15,5.67,2361.5,3.15,1.226,65.3
PET,4.08,6.31,0.466,fly ash,17.4,76.1,28.1,47.13,5.21,4.69,2338.9,2.71,1.224,66.3
PET,1.8,0.53,0.454,none,0.0,24.8,27.6,41.85,4.15,4.56,2381.7,2.73,1.24,59.4
PET,0.27,0.59,0.5,GGBS,18.1,20.2,28.2,46.02,4.93,4.26,2287.4,2.88,1.348,71.4
PET,1.63,1.73,0.427,none,0.0,25.9,6.8,17.97,2.66,1.95,2384.6,2.74,1.25,40.0
PET,4.16,4.99,0.545,silica fume,10.9,77.4,56.4,64.17,5.64,5.03,2356.6,2.75,1.245,71.5
PET,0.25,3.78,0.383,silica fume,6.7,22.2,6.6,23.57,3.02,1.87,2349.3,2.15,1.422,54.1
PET,3.57,10.07,0.481,fly ash,14.7,28.1,89.6,66.94,5.95,6.84,2357.2,2.78,1.22,62.4
PET,2.0,0.73,0.495,silica fume,12.8,33.2,28.0,47.4,4.92,5.03,2320.4,2.67,1.272,65.9
PET,4.01,14.07,0.462,silica fume,9.2,22.2,13.8,33.97,4.28,2.56,2329.8,2.25,1.218,62.9
PET,1.52,7.03,0.413,silica fume,7.1,20.0,55.7,74.37,6.97,7.41,2395.7,1.52,1.311,72.2
PET,3.57,2.64,0.358,none,0.0,39.9,27.9,58.33,5.95,4.61,2386.1,1.88,1.263,66.7
PET,4.63,12.24,0.404,silica fume,13.9,27.6,13.7,38.97,4.53,3.2,2405.2,1.54,1.266,64.2
PET,1.4,1.13,0.478,GGBS,12.2,28.0,13.8,33.28,4.19,3.66,2335.6,2.59,1.309,59.9
PET,4.92,3.47,0.574,none,0.0,23.7,89.7,53.08,5.95,5.5,2322.5,3.66,1.302,55.8
PET,2.94,5.89,0.426,fly ash,13.3,49.3,27.9,55.66,5.76,4.53,2335.6,2.21,1.231,67.4
PET,4.93,6.41,0.444,GGBS,13.1,28.6,13.9,29.93,4.02,3.17,2323.2,2.07,1.225,49.9
PET,0.72,1.93,0.467,none,0.0,24.4,89.9,74.5,6.32,6.12,2355.1,3.08,1.329,67.1
PET,2.84,4.42,0.563,none,0.0,27.8,56.1,51.81,5.14,3.96,2338.3,4.04,1.255,61.2
PET,4.6,6.68,0.367,GGBS,15.0,18.1,13.6,35.51,4.21,3.87,2327.9,1.53,1.244,61.1
PET,3.63,12.45,0.53,silica fume,15.7,20.2,13.5,29.6,4.16,2.94,2329.3,2.83,1.305,53.4
PET,3.91,4.16,0.503,fly ash,26.8,27.5,56.0,59.42,5.79,4.46,2386.5,3.05,1.193,70.0
PET,2.48,3.34,0.456,GGBS,11.1,28.3,56.4,57.74,6.72,5.03,2337.2,2.24,1.22,68.9
PET,4.76,0.63,0.576,GGBS,20.4,21.9,56.1,53.43,4.48,5.85,2353.1,3.84,1.213,68.7
PET,0.91,0.93,0.432,silica fume,19.1,35.9,7.1,23.89,3.34,1.8,2325.7,2.35,1.364,55.1
PET,2.83,5.63,0.481,GGBS,29.6,25.9,6.5,19.7,3.0,1.5,2383.0,2.46,1.226,48.7
PET,4.74,1.15,0.406,silica fume,17.9,25.9,27.8,53.27,5.28,5.63,2339.1,1.81,1.207,74.2
PET,0.39,14.68,0.469,silica fume,15.8,25.9,28.3,50.94,5.63,5.1,2349.6,2.59,1.296,71.9
PET,0.03,1.72,0.433,none,0.0,29.0,90.0,76.75,6.05,6.93,2351.1,2.79,1.333,65.8
PET,2.32,14.26,0.65,silica fume,10.5,40.6,6.9,15.64,2.63,1.38,2323.2,3.7,1.283,34.5
PET,0.43,2.77,0.496,none,0.0,19.4,7.2,18.53,3.08,1.42,2342.7,3.46,1.333,35.6
PET,0.94,0.89,0.545,silica fume,16.4,27.1,13.6,32.13,3.73,2.62,2327.8,3.14,1.37,60.7
PET,3.26,4.6,0.432,GGBS,10.9,43.4,27.9,53.76,5.37,4.4,2327.7,2.32,1.228,71.5
PET,3.12,3.42,0.531,none,0.0,26.3,7.3,16.86,2.45,1.72,2333.1,3.44,1.225,38.9
PET,1.11,6.91,0.448,fly ash,28.6,50.0,28.2,56.41,4.74,4.44,2282.7,2.91,1.285,68.8
PET,1.41,3.34,0.445,none,0.0,46.5,27.5,48.66,5.08,4.69,2364.3,3.03,1.296,66.4
PET,0.69,13.83,0.389,none,0.0,75.2,3.0,12.73,2.51,1.28,2306.9,2.43,1.354,35.3
PET,3.75,0.99,0.486,fly ash,11.7,19.9,7.5,20.51,3.16,1.97,2328.2,2.55,1.208,45.6
PET,0.58,6.36,0.404,fly ash,26.6,25.2,56.1,82.3,6.39,8.0,2373.7,2.17,1.321,72.7
PP,16.3,14.38,0.473,GGBS,15.5,64.8,7.3,5.54,1.56,0.58,2202.6,3.62,1.052,30.3
PP,23.77,18.32,0.427,none,0.0,27.3,6.6,5.01,1.3,0.43,2149.1,4.03,0.91,27.3
PP,35.78,12.16,0.477,fly ash,16.4,56.7,6.6,5.03,1.37,0.43,2108.6,4.73,0.61,24.8
PP,8.15,8.69,0.434,silica fume,10.6,24.6,7.0,11.26,2.01,1.04,2331.1,2.63,1.278,37.9
PP,3.79,6.91,0.477,GGBS,24.9,26.6,90.0,48.14,4.96,3.82,2364.0,2.53,1.274,62.3
PP,12.8,15.26,0.455,none,0.0,31.0,13.5,10.93,2.43,1.03,2271.6,3.71,1.143,29.3
PP,16.76,4.73,0.505,silica fume,15.4,21.2,7.0,5.0,1.42,0.52,2214.6,3.13,1.155,20.9
PP,20.83,4.46,0.59,none,0.0,70.8,90.0,14.86,2.52,1.33,2178.4,5.8,1.067,21.5
PP,34.5,5.69,0.351,none,0.0,30.6,27.5,13.06,2.14,1.43,2158.6,3.85,0.713,32.9
PP,0.51,7.57,0.446,silica fume,9.1,20.6,6.9,12.48,2.55,1.06,2337.0,2.72,1.408,37.1
PP,33.09,5.33,0.383,fly ash,20.2,27.6,14.5,7.67,1.72,0.75,2144.4,3.43,0.766,27.6
PP,23.05,6.95,0.444,silica fume,5.2,24.9,27.7,11.16,1.86,0.99,2243.6,2.74,0.904,38.9
PP,32.2,9.92,0.371,GGBS,12.1,34.7,6.6,5.0,1.37,0.4,2097.9,3.14,0.768,30.5
PP,8.42,12.52,0.446,GGBS,27.8,27.0,7.0,11.55,2.1,0.91,2277.5,2.76,1.179,37.8
PP,7.74,7.51,0.591,none,0.0,25.0,90.0,29.74,4.4,3.16,2258.3,4.65,1.239,39.5
PP,18.89,12.57,0.585,silica fume,14.4,61.7,28.4,8.66,1.68,0.74,2181.4,3.86,1.029,26.2
PP,1.41,7.07,0.469,fly ash,25.0,20.3,89.6,50.25,4.89,4.71,2355.7,2.9,1.219,66.2
PP,35.08,13.93,0.552,silica fume,13.7,32.5,7.3,5.0,1.32,0.4,2088.0,4.77,0.739,24.7
PP,2.83,4.53,0.47,none,0.0,60.8,7.3,11.16,2.07,1.03,2345.8,3.1,1.34,30.3
PP,35.39,6.63,0.475,GGBS,15.2,41.9,90.0,18.09,2.44,1.47,2111.2,4.41,0.777,37.7
PP,33.24,14.75,0.406,fly ash,23.3,75.0,28.1,12.14,2.29,0.95,2118.2,3.71,0.712,33.8
PP,11.85,7.74,0.478,none,0.0,45.1,7.1,8.92,1.65,0.78,2304.4,3.54,1.188,26.7
PP,26.69,4.99,0.445,silica fume,10.7,20.3,6.8,5.0,1.21,0.49,2128.4,3.63,0.909,28.9
PP,8.08,7.31,0.47,GGBS,24.3,28.6,55.9,30.78,4.27,2.35,2280.5,3.05,1.246,51.3
PP,34.73,9.43,0.553,silica fume,12.5,22.1,27.7,9.0,1.85,0.87,2132.6,4.7,0.684,24.8
PP,7.28,8.29,0.612,fly ash,15.3,29.6,13.8,14.87,2.51,1.51,2261.8,4.29,1.137,30.9
PP,3.82,16.79,0.516,GGBS,28.6,20.0,55.7,31.13,4.8,2.62,2277.6,3.71,1.211,52.1
PP,13.06,13.94,0.509,fly ash,14.6,27.9,27.6,18.29,2.56,1.93,2235.8,3.87,1.068,37.8
PP,25.38,5.83,0.54,none,0.0,18.3,6.6,5.0,1.19,0.43,2192.8,5.0,0.866,21.1
PP,31.8,8.71,0.441,none,0.0,25.4,7.0,5.0,1.27,0.38,2119.5,4.32,0.767,17.1
PP,26.49,12.89,0.479,none,0.0,27.1,13.9,6.94,1.43,0.72,2097.4,4.66,0.893,25.2
PP,17.89,5.86,0.431,fly ash,13.3,45.3,28.0,11.14,2.05,1.2,2239.3,3.67,0.969,33.6
PP,37.52,16.83,0.404,none,0.0,29.2,7.3,5.0,1.37,0.52,2084.7,4.69,0.683,25.4
PP,23.23,5.36,0.499,none,0.0,68.9,3.0,5.0,1.38,0.41,2168.2,4.55,0.98,23.4
PP,32.96,11.12,0.431,silica fume,12.7,27.1,13.7,6.81,1.64,0.53,2140.9,3.79,0.816,27.7
PP,15.0,4.11,0.381,none,0.0,25.0,14.5,11.58,2.27,1.02,2236.1,3.07,1.052,33.9
PP,31.54,8.58,0.466,GGBS,18.7,21.5,6.8,5.47,1.38,0.45,2131.4,4.48,0.786,27.6
PP,36.42,17.98,0.508,GGBS,24.4,33.4,28.3,10.39,1.89,0.79,2091.1,4.76,0.651,23.4
PP,5.74,12.88,0.547,silica fume,16.9,20.5,7.1,10.85,2.13,1.17,2281.6,3.43,1.245,32.5
PP,27.76,8.07,0.435,none,0.0,58.7,28.4,10.11,1.95,1.02,2120.3,4.26,0.87,28.2
PP,5.96,5.97,0.35,none,0.0,25.8,7.5,13.48,2.17,1.26,2334.7,2.68,1.256,35.9
PP,15.63,5.94,0.35,fly ash,12.2,22.9,7.3,7.05,1.56,0.55,2236.8,2.67,1.071,29.5
PP,27.22,9.72,0.572,GGBS,27.9,34.7,55.6,11.78,2.15,1.29,2156.3,4.86,0.847,28.0
