plastic_type,plastic_type_enc,replacement_pct,particle_size_mm,wc_ratio,additive_type,additive_type_enc,additive_pct,curing_temp_c,curing_days,compressive_strength_mpa,flexural_strength_mpa,split_tensile_mpa,density_kgm3,water_absorption_pct,thermal_conductivity_wm,durability_index,score_paving_block_light,suitable_paving_block_light,score_paving_block_heavy,suitable_paving_block_heavy,score_floor_tile_indoor,suitable_floor_tile_indoor,score_floor_tile_outdoor,suitable_floor_tile_outdoor,score_hollow_concrete_block,suitable_hollow_concrete_block,score_lightweight_partition_block,suitable_lightweight_partition_block,score_structural_concrete,suitable_structural_concrete,score_nonstructural_concrete_fill,suitable_nonstructural_concrete_fill,score_plastic_sand_paver,suitable_plastic_sand_paver,score_wall_cladding_panel,suitable_wall_cladding_panel,score_thermal_insulation_panel,suitable_thermal_insulation_panel,score_kerb_stone,suitable_kerb_stone,primary_application
Mixed,5,13.8,13.6,0.64,fly_ash,1,15.1,61.7,44,15.49,2.31,1.39,2190.2,5.0,0.682,78.9,66.44,1,39.74,0,26.6,0,21.21,0,100.0,1,72.81,1,68.18,1,86.44,1,55.65,1,73.2,1,59.32,1,54.88,0,hollow_concrete_block
Mixed,5,4.6,7.4,0.49,fibres,3,20.2,73.6,71,23.95,3.06,2.72,2275.0,2.36,0.921,100.0,88.79,1,58.38,1,42.9,0,33.14,0,100.0,1,67.06,1,80.99,1,85.82,1,66.93,1,66.75,1,49.85,0,80.71,1,hollow_concrete_block
LDPE,2,35.1,8.7,0.35,none,0,0.0,21.5,21,6.68,0.62,0.97,1903.8,8.28,0.412,60.0,42.36,0,25.79,0,11.45,0,8.66,0,95.13,1,81.01,1,33.93,0,82.77,1,31.45,0,81.97,1,83.76,1,34.36,0,hollow_concrete_block
PET,0,26.8,4.4,0.58,fly_ash,1,29.5,61.0,21,12.5,1.95,1.09,2088.6,6.76,0.615,61.1,54.34,0,32.89,0,21.32,0,17.14,0,99.65,1,75.83,1,57.11,1,87.24,1,44.28,0,73.06,1,63.6,1,44.62,0,hollow_concrete_block
PET,0,27.6,6.3,0.58,none,0,0.0,41.5,60,13.91,1.62,1.67,2091.7,7.24,0.659,64.1,55.62,1,34.01,0,21.64,0,17.21,0,98.02,1,74.36,1,60.45,1,87.21,1,44.33,0,70.53,1,60.98,1,45.87,0,hollow_concrete_block
PET,0,24.6,13.7,0.52,fly_ash,1,22.3,53.7,33,14.23,1.83,1.11,2121.8,7.43,0.539,64.7,55.99,1,34.35,0,22.39,0,17.97,0,97.43,1,78.59,1,63.29,1,86.97,1,44.1,0,75.51,1,68.95,1,46.2,0,hollow_concrete_block
PP,4,31.4,16.1,0.44,none,0,0.0,75.6,52,13.99,1.99,1.38,1857.3,7.75,0.491,58.2,52.37,0,31.98,0,22.41,0,18.12,0,96.51,1,81.54,1,42.33,0,89.38,1,42.74,0,79.4,1,74.65,1,43.35,0,hollow_concrete_block
PVC,3,38.3,19.5,0.44,none,0,0.0,20.8,35,10.4,1.74,1.05,1993.0,9.32,0.437,54.1,45.92,0,28.32,0,17.61,0,14.34,0,92.88,1,80.07,1,44.99,0,85.23,1,33.9,0,80.9,1,79.96,1,37.56,0,hollow_concrete_block
HDPE,1,24.8,15.7,0.61,fly_ash,1,27.3,62.3,85,20.01,3.2,2.07,2011.1,5.96,0.642,74.9,67.43,1,41.05,0,32.48,0,26.61,0,100.0,1,75.66,1,67.63,1,87.9,1,58.0,1,73.95,1,62.33,1,56.34,1,hollow_concrete_block
LDPE,2,30.2,11.2,0.53,fly_ash,1,8.8,30.6,90,16.59,2.08,1.45,1981.9,7.97,0.643,71.2,57.98,1,35.93,0,25.14,0,20.33,0,95.91,1,75.92,1,58.9,1,88.16,1,45.54,0,70.69,1,62.42,1,48.29,0,hollow_concrete_block
PET,0,7.5,3.9,0.5,fibres,3,1.2,36.7,36,17.36,2.04,1.6,2249.7,3.85,0.868,90.6,75.79,1,45.15,0,29.39,0,22.84,0,100.0,1,68.14,1,70.04,1,86.0,1,58.15,1,67.92,1,51.54,0,63.45,1,hollow_concrete_block
HDPE,1,6.4,17.0,0.35,fibres,3,21.3,29.3,22,22.7,3.87,1.97,2298.8,3.61,0.855,100.0,85.0,1,51.56,0,39.76,0,32.13,0,100.0,1,67.99,1,77.2,1,85.66,1,65.27,1,67.99,1,51.77,0,71.5,1,hollow_concrete_block
LDPE,2,23.9,15.6,0.54,silica_fume,2,14.7,54.4,48,19.59,2.67,1.79,1986.7,5.27,0.642,79.2,69.41,1,41.86,0,31.33,0,25.2,0,100.0,1,75.9,1,66.29,1,88.12,1,61.12,1,75.66,1,62.45,1,57.94,1,hollow_concrete_block
PET,0,31.4,6.7,0.42,fly_ash,1,15.6,67.2,23,10.92,1.3,1.31,2004.9,7.49,0.531,57.0,49.67,0,30.15,0,17.73,0,13.96,0,97.25,1,79.95,1,47.45,0,87.96,1,39.48,0,76.45,1,70.17,1,40.67,0,hollow_concrete_block
PVC,3,21.7,8.4,0.45,fly_ash,1,19.9,39.9,40,18.24,2.67,1.96,2165.9,5.51,0.66,76.0,67.72,1,40.96,0,29.75,0,24.03,0,100.0,1,73.67,1,73.75,1,86.62,1,58.2,1,73.61,1,60.6,1,56.25,1,hollow_concrete_block
HDPE,1,38.0,12.6,0.49,none,0,0.0,26.9,47,10.63,1.08,1.13,1762.5,8.86,0.525,51.0,44.7,0,27.3,0,16.34,0,12.84,0,93.81,1,82.7,1,30.79,0,88.48,1,35.24,0,76.61,1,72.06,1,36.73,0,hollow_concrete_block
PVC,3,9.6,13.0,0.63,fly_ash,1,28.8,61.0,44,16.4,2.52,1.33,2239.8,3.97,0.824,82.1,73.6,1,43.15,0,29.42,0,23.25,0,100.0,1,69.04,1,66.97,1,86.07,1,56.87,1,68.94,1,53.06,0,60.74,1,hollow_concrete_block
PVC,3,36.6,18.9,0.47,silica_fume,2,0.7,51.0,50,11.69,1.76,1.22,1992.1,8.62,0.445,58.7,49.06,0,30.21,0,19.18,0,15.53,0,94.33,1,80.08,1,48.26,0,86.63,1,37.24,0,80.94,1,78.97,1,40.32,0,hollow_concrete_block
PP,4,32.1,9.2,0.36,fly_ash,1,9.6,24.9,15,9.82,1.32,0.78,1885.1,7.45,0.463,56.0,47.27,0,28.55,0,16.7,0,13.17,0,97.37,1,81.22,1,36.8,0,89.1,1,38.15,0,81.61,1,77.45,1,38.67,0,hollow_concrete_block
HDPE,1,38.9,15.6,0.51,none,0,0.0,32.6,83,12.6,2.0,1.17,1821.5,9.22,0.439,60.4,48.46,0,30.0,0,20.49,0,16.76,0,93.08,1,81.96,1,38.02,0,87.12,1,37.05,0,81.84,1,80.65,1,40.09,0,hollow_concrete_block
HDPE,1,34.6,8.8,0.38,fibres,3,19.4,76.4,90,22.87,3.31,2.29,1806.5,8.29,0.592,82.7,65.94,1,41.34,0,34.36,0,28.42,0,95.1,1,79.66,1,59.79,1,89.23,1,53.01,0,73.49,1,66.61,1,55.79,1,hollow_concrete_block
HDPE,1,1.0,14.5,0.36,none,0,0.0,23.3,35,23.82,3.45,2.44,2371.9,1.68,1.022,100.0,89.33,1,65.61,1,48.32,0,36.66,0,100.0,1,64.91,1,73.85,1,85.18,1,66.76,1,64.65,1,46.92,0,81.07,1,hollow_concrete_block
PP,4,2.8,16.5,0.62,fibres,3,11.6,57.8,58,19.86,2.88,2.19,2335.7,2.05,0.999,100.0,83.78,1,57.74,1,40.07,0,30.44,0,100.0,1,65.47,1,69.84,1,85.41,1,61.48,1,65.15,1,47.59,0,76.13,1,hollow_concrete_block
LDPE,2,0.7,13.6,0.51,none,0,0.0,65.4,77,26.31,3.7,2.6,2375.7,2.09,0.934,100.0,92.68,1,63.09,1,48.32,0,37.51,0,100.0,1,66.11,1,77.73,1,85.15,1,70.08,1,66.11,1,49.11,0,84.08,1,hollow_concrete_block
PET,0,28.0,1.9,0.63,none,0,0.0,37.4,90,15.24,2.5,1.64,2052.9,8.03,0.593,78.3,57.47,1,35.77,0,24.81,0,20.39,0,95.76,1,76.97,1,63.54,1,87.46,1,43.57,0,72.34,1,65.21,1,47.76,0,hollow_concrete_block
LDPE,2,24.3,6.0,0.63,fibres,3,11.9,59.6,63,13.24,2.01,1.49,2039.1,6.8,0.679,75.8,56.65,1,34.65,0,22.19,0,17.86,0,99.51,1,74.25,1,58.58,1,87.65,1,45.1,0,70.79,1,60.15,1,46.81,0,hollow_concrete_block
HDPE,1,21.3,3.2,0.47,silica_fume,2,28.8,28.6,89,35.7,5.1,3.76,2047.2,3.93,0.753,98.7,90.61,1,60.41,1,55.24,1,45.18,0,100.0,1,72.25,1,92.66,1,87.58,1,75.0,1,71.67,1,56.64,1,83.97,1,hollow_concrete_block
Mixed,5,25.9,19.2,0.35,fly_ash,1,3.7,20.3,79,24.37,3.37,2.5,2010.5,7.2,0.633,82.2,71.24,1,44.33,0,36.5,0,30.02,0,98.15,1,75.96,1,76.73,1,87.91,1,58.42,1,72.0,1,62.86,1,60.07,1,hollow_concrete_block
PVC,3,21.5,19.0,0.44,silica_fume,2,6.4,74.3,68,22.78,2.79,2.33,2081.8,5.52,0.67,94.3,73.91,1,46.16,0,34.59,0,27.88,0,100.0,1,74.11,1,82.27,1,87.29,1,64.19,1,73.62,1,60.43,1,62.79,1,hollow_concrete_block
HDPE,1,6.4,4.8,0.6,fly_ash,1,3.4,60.3,75,25.71,3.54,2.55,2290.9,3.83,0.822,91.5,87.36,1,52.65,0,41.52,0,33.35,0,100.0,1,68.68,1,81.25,1,85.71,1,69.28,1,68.78,1,52.93,0,73.8,1,hollow_concrete_block
PET,0,34.1,18.7,0.65,fibres,3,19.3,24.4,88,12.6,1.94,1.36,2051.3,7.66,0.373,78.2,54.53,0,33.73,0,20.93,0,16.93,0,96.76,1,79.5,1,59.0,1,87.55,1,41.17,0,85.84,1,84.75,1,45.05,0,hollow_concrete_block
PET,0,10.0,4.3,0.52,silica_fume,2,10.7,60.3,33,19.89,2.18,2.02,2276.8,2.94,0.827,87.2,83.39,1,50.34,0,34.41,0,26.39,0,100.0,1,68.69,1,71.45,1,85.81,1,61.52,1,68.72,1,52.8,0,72.75,1,hollow_concrete_block
PET,0,11.4,1.9,0.41,fibres,3,13.5,57.0,42,22.63,2.76,2.12,2255.1,4.18,0.837,90.4,80.8,1,48.85,0,35.91,0,28.55,0,100.0,1,68.67,1,78.39,1,85.96,1,65.17,1,68.58,1,52.54,0,68.16,1,hollow_concrete_block
Mixed,5,23.4,11.5,0.46,silica_fume,2,28.8,30.1,43,21.5,2.36,2.19,2100.4,3.14,0.62,86.4,84.23,1,49.9,0,35.89,0,27.79,0,100.0,1,75.55,1,79.44,1,87.14,1,63.67,1,75.96,1,63.23,1,71.93,1,hollow_concrete_block
HDPE,1,31.4,14.4,0.54,silica_fume,2,25.2,28.1,45,18.09,2.4,1.67,1854.5,4.63,0.631,73.1,68.32,1,40.38,0,29.85,0,23.71,0,100.0,1,77.7,1,52.79,0,89.41,1,59.12,1,76.86,1,63.82,1,56.87,1,hollow_concrete_block
PVC,3,18.5,7.5,0.44,none,0,0.0,30.5,80,23.52,3.39,2.35,2149.9,5.66,0.734,88.7,74.95,1,46.42,0,36.71,0,29.98,0,100.0,1,71.77,1,86.94,1,86.74,1,64.34,1,70.86,1,57.0,1,63.53,1,hollow_concrete_block
PET,0,33.7,17.2,0.39,fly_ash,1,7.9,73.2,12,7.62,1.46,0.89,2006.5,8.47,0.47,49.1,42.78,0,25.96,0,14.42,0,11.59,0,94.68,1,79.94,1,40.04,0,86.83,1,32.2,0,79.12,1,76.03,1,34.61,0,hollow_concrete_block
Mixed,5,3.0,0.9,0.5,none,0,0.0,68.8,77,24.95,2.96,2.59,2257.6,2.05,0.851,100.0,89.99,1,61.71,1,45.36,0,34.62,0,100.0,1,68.39,1,83.9,1,85.95,1,68.27,1,68.25,1,52.06,0,81.82,1,hollow_concrete_block
PVC,3,30.8,4.6,0.36,silica_fume,2,16.3,79.9,63,29.15,3.98,2.71,2022.2,5.27,0.51,80.2,82.54,1,50.32,0,44.16,0,36.13,0,100.0,1,79.78,1,85.02,1,87.8,1,73.87,1,81.92,1,71.95,1,69.71,1,hollow_concrete_block
Mixed,5,31.0,7.6,0.42,silica_fume,2,4.0,50.1,14,7.86,1.16,1.05,1980.1,6.81,0.548,55.7,46.58,0,27.82,0,14.68,0,11.41,0,99.47,1,79.53,1,40.25,0,88.18,1,37.89,0,76.72,1,68.9,1,37.79,0,hollow_concrete_block
PVC,3,14.6,0.7,0.42,fly_ash,1,22.7,28.4,23,18.03,2.43,1.77,2217.7,4.23,0.73,72.6,72.91,1,42.91,0,30.41,0,24.05,0,100.0,1,71.3,1,68.83,1,86.23,1,59.04,1,71.54,1,56.9,1,60.29,1,hollow_concrete_block
HDPE,1,22.7,11.5,0.61,fly_ash,1,22.1,49.0,48,12.66,1.41,1.3,2007.7,6.29,0.661,63.0,55.29,1,33.25,0,20.42,0,15.99,0,100.0,1,75.09,1,52.09,0,87.93,1,46.56,0,72.55,1,61.27,1,45.48,0,hollow_concrete_block
PET,0,8.8,10.0,0.37,silica_fume,2,7.0,60.1,69,41.83,6.1,3.98,2277.2,2.74,0.873,98.7,96.87,1,71.24,1,66.56,1,54.28,0,100.0,1,67.84,1,90.91,1,85.81,1,75.0,1,67.7,1,51.27,0,96.18,1,hollow_concrete_block
LDPE,2,15.5,18.4,0.61,none,0,0.0,78.8,44,9.45,1.21,0.92,2116.4,4.32,0.748,77.1,60.77,1,35.28,0,18.65,0,14.05,0,100.0,1,71.73,1,58.12,1,87.01,1,47.6,0,71.47,1,56.54,1,49.56,0,hollow_concrete_block
PET,0,28.1,10.7,0.6,silica_fume,2,17.4,54.2,51,17.41,2.49,1.61,2112.6,4.13,0.603,75.8,72.26,1,42.39,0,30.09,0,23.81,0,100.0,1,76.05,1,70.78,1,87.04,1,58.21,1,76.63,1,64.27,1,59.8,1,hollow_concrete_block
Mixed,5,15.1,12.0,0.62,none,0,0.0,51.0,51,13.93,1.89,1.29,2192.3,4.15,0.725,77.4,68.29,1,39.91,0,25.08,0,19.49,0,100.0,1,71.64,1,65.04,1,86.42,1,53.57,0,71.8,1,57.23,1,56.13,1,hollow_concrete_block
HDPE,1,20.7,7.4,0.61,fibres,3,23.8,73.2,3,8.41,1.29,0.65,2053.0,5.48,0.654,72.6,53.47,0,31.69,0,16.5,0,12.72,0,100.0,1,74.87,1,50.7,0,87.54,1,45.28,0,74.45,1,61.44,1,43.56,0,hollow_concrete_block
PP,4,35.3,9.1,0.42,silica_fume,2,6.3,31.2,49,12.63,2.25,1.43,1872.6,7.12,0.463,58.6,51.86,0,31.39,0,22.0,0,17.93,0,98.41,1,81.36,1,41.26,0,89.22,1,43.06,0,82.19,1,77.52,1,42.76,0,hollow_concrete_block
PP,4,28.7,2.8,0.42,silica_fume,2,21.6,48.9,64,25.83,3.76,2.84,1902.1,4.15,0.562,78.8,82.18,1,48.79,0,41.66,0,33.73,0,100.0,1,79.75,1,70.55,1,88.93,1,69.44,1,79.69,1,68.22,1,69.04,1,hollow_concrete_block
PVC,3,8.4,3.6,0.6,none,0,0.0,34.6,19,11.04,1.33,1.06,2256.6,3.2,0.874,77.0,70.77,1,40.58,0,22.7,0,16.82,0,100.0,1,67.98,1,55.53,1,85.95,1,49.72,0,67.76,1,51.32,0,58.68,1,hollow_concrete_block
PP,4,23.7,3.1,0.5,fly_ash,1,1.7,35.5,26,9.66,1.13,1.03,2057.1,6.32,0.694,60.2,51.24,0,30.63,0,16.7,0,12.9,0,100.0,1,73.66,1,49.9,0,87.5,1,42.42,0,71.08,1,59.3,1,41.77,0,hollow_concrete_block
PP,4,38.3,12.2,0.52,none,0,0.0,72.7,87,12.52,1.42,0.96,1774.4,9.37,0.473,65.3,48.42,0,30.09,0,18.92,0,15.13,0,92.79,1,82.54,1,37.61,0,87.36,1,36.62,0,79.39,1,77.01,1,40.16,0,hollow_concrete_block
LDPE,2,37.9,4.7,0.53,fibres,3,26.0,30.2,55,7.72,1.02,0.83,1813.3,8.08,0.387,67.9,44.33,0,27.1,0,13.57,0,10.58,0,95.63,1,82.06,1,31.23,0,89.66,1,33.4,0,86.67,1,86.03,1,36.25,0,hollow_concrete_block
PP,4,5.7,11.9,0.58,silica_fume,2,5.0,61.1,61,23.34,2.61,2.3,2271.9,3.06,0.949,98.3,87.95,1,53.8,0,38.58,0,30.02,0,100.0,1,66.66,1,80.19,1,85.85,1,66.12,1,66.25,1,49.09,0,76.11,1,hollow_concrete_block
PP,4,23.6,5.0,0.47,none,0,0.0,21.0,69,16.48,1.74,1.57,2039.0,6.81,0.682,79.6,61.41,1,37.78,0,24.75,0,19.66,0,99.47,1,74.17,1,64.95,1,87.66,1,49.38,0,70.67,1,60.0,1,51.1,0,hollow_concrete_block
PP,4,27.4,16.6,0.53,fly_ash,1,14.3,56.9,7,7.93,0.94,0.77,2004.1,6.55,0.67,52.4,47.04,0,27.91,0,14.35,0,10.96,0,100.0,1,74.86,1,41.23,0,87.96,1,39.07,0,71.74,1,60.8,1,38.1,0,hollow_concrete_block
PP,4,20.1,2.8,0.49,fly_ash,1,27.1,52.4,3,11.21,1.15,1.24,2037.5,5.05,0.709,65.1,57.73,1,33.92,0,19.37,0,14.76,0,100.0,1,73.44,1,52.34,0,87.67,1,49.95,0,73.04,1,58.67,1,47.25,0,hollow_concrete_block
Mixed,5,26.0,10.7,0.46,none,0,0.0,61.9,57,13.72,1.47,1.35,2022.4,6.9,0.657,71.9,56.48,1,34.52,0,21.26,0,16.77,0,99.15,1,75.07,1,57.19,1,87.8,1,45.35,0,71.5,1,61.42,1,46.69,0,hollow_concrete_block
HDPE,1,37.5,9.9,0.58,silica_fume,2,17.7,64.5,76,19.89,2.85,1.92,1780.4,5.55,0.421,72.1,66.47,1,40.02,0,31.82,0,25.77,0,100.0,1,82.47,1,51.64,0,90.22,1,60.15,1,89.4,1,83.24,1,55.66,1,hollow_concrete_block
PET,0,17.0,5.5,0.58,none,0,0.0,37.0,72,18.65,2.26,1.9,2205.2,5.67,0.789,86.1,68.84,1,42.27,0,29.0,0,23.18,0,100.0,1,70.04,1,74.22,1,86.33,1,57.79,1,69.06,1,54.49,0,57.66,1,hollow_concrete_block
PVC,3,10.3,0.6,0.57,none,0,0.0,54.7,18,10.25,1.55,1.27,2212.2,3.71,0.807,77.1,66.35,1,37.97,0,21.31,0,16.15,0,100.0,1,69.6,1,57.41,1,86.27,1,48.67,0,69.47,1,53.78,0,54.07,0,hollow_concrete_block
PP,4,0.3,13.3,0.56,silica_fume,2,12.3,26.4,57,32.16,4.32,2.74,2333.3,1.91,1.022,100.0,97.28,1,69.7,1,56.92,1,44.39,0,100.0,1,65.19,1,86.91,1,85.43,1,75.0,1,64.8,1,47.05,0,90.87,1,hollow_concrete_block
Mixed,5,23.4,5.6,0.51,silica_fume,2,18.4,79.5,53,21.62,2.64,2.27,2032.5,4.8,0.678,80.0,74.41,1,44.65,0,33.78,0,26.98,0,100.0,1,74.35,1,73.15,1,87.71,1,63.83,1,74.09,1,60.24,1,62.2,1,hollow_concrete_block
HDPE,1,16.5,15.8,0.49,silica_fume,2,16.8,49.0,42,23.58,3.27,2.31,2154.2,3.37,0.716,92.2,87.07,1,51.63,0,39.67,0,31.51,0,100.0,1,72.19,1,87.64,1,86.71,1,66.44,1,72.25,1,57.8,1,73.37,1,hollow_concrete_block
PP,4,13.8,14.3,0.57,none,0,0.0,64.9,60,16.48,2.54,1.53,2161.5,4.61,0.699,90.4,69.68,1,42.22,0,28.61,0,22.84,0,100.0,1,72.58,1,74.82,1,86.66,1,56.97,1,72.76,1,58.59,1,58.51,1,hollow_concrete_block
Mixed,5,38.0,2.5,0.5,silica_fume,2,24.0,56.8,90,22.85,3.08,2.06,1885.4,5.34,0.448,79.0,72.73,1,44.03,0,35.54,0,28.79,0,100.0,1,81.22,1,64.44,1,89.09,1,65.42,1,87.01,1,79.18,1,61.1,1,hollow_concrete_block
Mixed,5,2.1,8.1,0.54,none,0,0.0,69.4,63,22.3,3.56,2.34,2292.3,2.92,1.051,100.0,86.71,1,53.8,0,40.33,0,31.97,0,100.0,1,65.14,1,77.0,1,85.7,1,64.73,1,64.53,1,46.56,0,76.22,1,hollow_concrete_block
PP,4,17.4,1.7,0.42,none,0,0.0,56.5,52,17.38,2.51,1.32,2115.2,4.91,0.835,79.8,68.88,1,41.22,0,29.09,0,23.27,0,100.0,1,69.88,1,71.94,1,87.02,1,58.17,1,69.25,1,53.2,0,57.15,1,hollow_concrete_block
PVC,3,24.6,10.7,0.56,none,0,0.0,76.7,25,6.14,0.72,0.3,2138.8,5.6,0.632,54.9,48.54,0,28.33,0,12.7,0,9.37,0,100.0,1,74.8,1,48.51,0,77.77,1,41.52,0,70.04,1,62.33,1,39.01,0,hollow_concrete_block
Mixed,5,19.8,0.7,0.61,silica_fume,2,5.8,67.0,68,17.41,2.93,1.81,2076.6,4.91,0.704,82.7,68.96,1,41.33,0,30.17,0,24.41,0,100.0,1,73.2,1,69.98,1,87.34,1,58.21,1,73.0,1,58.72,1,57.3,1,hollow_concrete_block
PP,4,27.9,12.5,0.55,silica_fume,2,7.2,20.0,23,7.98,1.3,0.3,1927.9,5.82,0.613,60.6,49.45,0,29.12,0,15.81,0,12.25,0,100.0,1,77.5,1,37.97,0,88.67,1,42.71,0,75.91,1,64.53,1,40.2,0,hollow_concrete_block
PET,0,39.9,15.7,0.46,fibres,3,12.2,32.0,4,3.19,0.5,0.36,1960.6,8.95,0.377,47.7,35.73,0,21.55,0,7.42,0,5.49,0,72.04,1,66.67,1,29.02,0,57.51,1,25.11,0,70.45,1,85.2,1,28.39,0,thermal_insulation_panel
Mixed,5,28.1,18.4,0.51,silica_fume,2,10.4,68.9,31,12.44,1.72,1.68,1956.0,4.85,0.618,63.4,59.38,1,34.73,0,22.24,0,17.36,0,100.0,1,77.02,1,48.13,0,88.4,1,51.59,0,76.8,1,64.06,1,48.76,0,hollow_concrete_block
PP,4,38.5,9.4,0.47,none,0,0.0,35.7,55,9.58,1.11,0.91,1841.6,9.25,0.466,52.0,43.53,0,26.7,0,15.24,0,12.03,0,93.02,1,81.72,1,32.27,0,86.85,1,32.95,0,79.57,1,77.36,1,35.62,0,hollow_concrete_block
PP,4,4.3,1.9,0.44,none,0,0.0,68.2,35,16.99,1.53,1.54,2316.6,2.98,0.924,92.1,79.81,1,48.34,0,29.76,0,22.33,0,100.0,1,66.7,1,65.03,1,85.54,1,57.65,1,66.52,1,49.61,0,69.43,1,hollow_concrete_block
PP,4,32.5,11.7,0.56,fibres,3,16.9,66.2,46,9.38,1.37,1.09,1831.9,7.97,0.559,65.2,46.53,0,28.43,0,16.15,0,12.83,0,95.91,1,80.69,1,34.63,0,89.65,1,35.93,0,75.31,1,68.85,1,38.18,0,hollow_concrete_block
PVC,3,27.3,18.0,0.61,fibres,3,3.5,24.1,84,16.66,3.18,1.64,2102.4,6.62,0.6,77.3,62.26,1,38.2,0,28.64,0,23.7,0,100.0,1,76.25,1,69.19,1,87.12,1,50.41,0,73.9,1,64.51,1,51.73,0,hollow_concrete_block
HDPE,1,27.1,5.0,0.44,silica_fume,2,15.5,20.6,36,20.21,2.52,2.06,2017.2,4.93,0.642,72.1,70.91,1,42.39,0,31.92,0,25.48,0,100.0,1,75.6,1,67.68,1,87.85,1,61.95,1,75.5,1,62.3,1,59.11,1,hollow_concrete_block
HDPE,1,11.5,8.3,0.57,silica_fume,2,2.3,75.9,63,21.05,3.03,1.91,2199.7,3.49,0.796,89.7,83.01,1,49.05,0,36.27,0,28.75,0,100.0,1,69.93,1,79.53,1,86.37,1,63.07,1,69.8,1,54.24,0,69.73,1,hollow_concrete_block
LDPE,2,14.1,17.9,0.43,fly_ash,1,15.0,32.0,33,19.24,2.34,2.13,2165.5,4.26,0.712,79.6,74.82,1,44.29,0,31.35,0,24.73,0,100.0,1,72.2,1,76.37,1,86.62,1,60.65,1,72.32,1,57.94,1,62.11,1,hollow_concrete_block
LDPE,2,8.3,4.5,0.42,silica_fume,2,4.7,26.4,13,14.27,2.03,1.35,2171.1,3.01,0.86,85.6,75.11,1,44.53,0,28.2,0,21.5,0,100.0,1,68.93,1,69.22,1,86.58,1,54.03,0,68.43,1,52.12,0,64.64,1,hollow_concrete_block
Mixed,5,38.2,10.1,0.35,none,0,0.0,70.9,50,11.73,2.15,0.79,1911.8,8.79,0.47,58.9,48.32,0,29.77,0,20.14,0,16.56,0,93.96,1,80.92,1,42.64,0,87.03,1,36.88,0,79.3,1,76.53,1,39.78,0,hollow_concrete_block
PP,4,12.6,18.0,0.61,silica_fume,2,14.7,79.1,68,28.62,3.89,2.64,2210.5,2.97,0.822,98.0,94.53,1,58.39,1,47.32,0,37.68,0,100.0,1,69.32,1,93.38,1,86.29,1,73.16,1,69.12,1,53.24,0,82.91,1,hollow_concrete_block
LDPE,2,15.9,15.1,0.39,fibres,3,14.3,52.4,67,25.55,3.76,2.44,2118.7,4.89,0.686,94.1,80.21,1,49.64,0,40.4,0,32.97,0,100.0,1,73.32,1,89.48,1,86.99,1,69.07,1,73.39,1,59.43,1,68.17,1,hollow_concrete_block
LDPE,2,15.7,13.9,0.4,none,0,0.0,61.9,61,24.26,3.66,2.41,2132.8,4.71,0.832,86.9,79.38,1,48.23,0,39.07,0,31.81,0,100.0,1,69.78,1,86.49,1,86.88,1,67.35,1,69.23,1,53.22,0,66.98,1,hollow_concrete_block
LDPE,2,27.6,0.7,0.41,none,0,0.0,39.5,81,20.31,3.19,1.88,2002.1,6.36,0.667,77.8,67.06,1,41.12,0,32.48,0,26.66,0,100.0,1,74.97,1,68.23,1,87.98,1,56.43,1,72.22,1,60.97,1,56.13,1,hollow_concrete_block
LDPE,2,7.5,5.6,0.43,silica_fume,2,11.0,49.9,29,23.11,2.67,2.22,2211.6,2.37,0.881,95.2,87.2,1,56.81,1,41.04,0,31.42,0,100.0,1,68.22,1,83.53,1,86.28,1,65.81,1,67.81,1,51.28,0,79.37,1,hollow_concrete_block
PVC,3,28.0,7.8,0.61,silica_fume,2,13.5,54.3,76,20.6,2.98,1.84,2057.6,5.86,0.543,82.6,69.77,1,42.64,0,32.6,0,26.53,0,100.0,1,79.0,1,73.91,1,87.5,1,59.32,1,78.49,1,68.92,1,58.38,1,hollow_concrete_block
Mixed,5,9.1,2.4,0.43,fly_ash,1,16.7,71.4,28,19.41,2.72,2.15,2274.4,3.59,0.844,84.4,80.58,1,47.19,0,33.64,0,26.53,0,100.0,1,68.38,1,70.11,1,85.83,1,60.88,1,68.34,1,52.23,0,66.92,1,hollow_concrete_block
HDPE,1,32.0,14.9,0.49,none,0,0.0,30.6,66,14.24,2.26,1.42,1923.8,8.42,0.539,67.6,53.31,0,33.01,0,23.06,0,18.88,0,94.79,1,80.53,1,49.91,0,87.72,1,41.16,0,75.27,1,69.92,1,44.23,0,hollow_concrete_block
HDPE,1,39.8,17.1,0.51,silica_fume,2,23.6,38.0,74,15.33,1.36,1.61,1793.9,5.29,0.415,70.8,61.21,1,36.41,0,23.77,0,18.39,0,100.0,1,82.3,1,43.7,0,90.07,1,55.44,1,90.45,1,83.98,1,50.83,0,hollow_concrete_block
PP,4,1.9,2.4,0.4,fly_ash,1,24.4,48.6,83,47.59,6.69,4.61,2352.2,2.26,0.998,100.0,97.42,1,79.78,1,71.8,1,59.48,1,100.0,1,65.37,1,85.56,1,85.3,1,75.0,1,65.1,1,47.55,0,97.38,1,hollow_concrete_block
PET,0,18.0,7.0,0.46,silica_fume,2,10.3,44.7,47,23.28,3.28,2.33,2189.8,4.05,0.638,82.6,81.95,1,48.65,0,38.06,0,30.56,0,100.0,1,74.17,1,82.14,1,86.44,1,66.04,1,74.82,1,61.75,1,68.39,1,hollow_concrete_block
